style	name	domain	price	regular	renewal	transfer	premium	avail	pork_error
pron6	Juvoso	juvoso.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Kafop	kafop.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Kebidy	kebidy.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Kecotu	kecotu.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Kefap	kefap.com	11.08	11.08	11.08	11.08	no	yes	
root6	Keleli	keleli.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Kociz	kociz.com	11.08	11.08	11.08	11.08	no	yes	
root5	Kyico	kyico.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Lejage	lejage.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Lokeja	lokeja.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Migufo	migufo.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Mohomu	mohomu.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Mufip	mufip.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Mukedi	mukedi.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Mumif	mumif.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Muvehu	muvehu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Muzety	muzety.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Nefafy	nefafy.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Nipog	nipog.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Nirube	nirube.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Niwupe	niwupe.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Nojeg	nojeg.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Nozucu	nozucu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Nudaso	nudaso.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Nuwuz	nuwuz.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Nuzaju	nuzaju.com	11.08	11.08	11.08	11.08	no	yes	
root5	Nyulo	nyulo.com	11.08	11.08	11.08	11.08	no	yes	
root5	Nyynx	nyynx.com	11.08	11.08	11.08	11.08	no	yes	
root5	Oryri	oryri.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Pedajy	pedajy.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Pegipu	pegipu.com	11.08	11.08	11.08	11.08	no	yes	
root6	Penynx	penynx.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Pigef	pigef.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Pijipu	pijipu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Pimewi	pimewi.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Pocug	pocug.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Pofiz	pofiz.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Pojari	pojari.com	11.08	11.08	11.08	11.08	no	yes	
root5	Pyeno	pyeno.com	11.08	11.08	11.08	11.08	no	yes	
root5	Pyiva	pyiva.com	11.08	11.08	11.08	11.08	no	yes	
root6	Pyraxi	pyraxi.com	11.08	11.08	11.08	11.08	no	yes	
root6	Pyrima	pyrima.com	11.08	11.08	11.08	11.08	no	yes	
root6	Pyriro	pyriro.com	11.08	11.08	11.08	11.08	no	yes	
root6	Pyryna	pyryna.com	11.08	11.08	11.08	11.08	no	yes	
root5	Quyri	quyri.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Racipo	racipo.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Ramuci	ramuci.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Rasudi	rasudi.com	11.08	11.08	11.08	11.08	no	yes	
root6	Rhoiro	rhoiro.com	11.08	11.08	11.08	11.08	no	yes	
root6	Rhoola	rhoola.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Rodug	rodug.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Ronobe	ronobe.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Ropuv	ropuv.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Rowula	rowula.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Rukoku	rukoku.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Rutejy	rutejy.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Ruwok	ruwok.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Sakuby	sakuby.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Siculu	siculu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Sohutu	sohutu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Sujeca	sujeca.com	11.08	11.08	11.08	11.08	no	yes	
root5	Syyri	syyri.com	11.08	11.08	11.08	11.08	no	yes	
root6	Tareri	tareri.com	11.08	11.08	11.08	11.08	no	yes	
root6	Taryri	taryri.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Tenug	tenug.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Tidury	tidury.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Tihage	tihage.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Tijoz	tijoz.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Tinuni	tinuni.com	11.08	11.08	11.08	11.08	no	yes	
root5	Toaxi	toaxi.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Tobijy	tobijy.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Tocumu	tocumu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Tofehu	tofehu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Toseku	toseku.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Tujodi	tujodi.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Tuwog	tuwog.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Tuwuk	tuwuk.com	11.08	11.08	11.08	11.08	no	yes	
root5	Tyynx	tyynx.com	11.08	11.08	11.08	11.08	no	yes	
root6	Ulmaxi	ulmaxi.com	11.08	11.08	11.08	11.08	no	yes	
root6	Ulmila	ulmila.com	11.08	11.08	11.08	11.08	no	yes	
root6	Ulmulo	ulmulo.com	11.08	11.08	11.08	11.08	no	yes	
root6	Ulmuma	ulmuma.com	11.08	11.08	11.08	11.08	no	yes	
root6	Ulmynx	ulmynx.com	11.08	11.08	11.08	11.08	no	yes	
root6	Ulmyri	ulmyri.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Vadegu	vadegu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Vafoca	vafoca.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Vatapu	vatapu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Vefinu	vefinu.com	11.08	11.08	11.08	11.08	no	yes	
root6	Veruri	veruri.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Vetug	vetug.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Vewuvy	vewuvy.com	11.08	11.08	11.08	11.08	no	yes	
root5	Viynx	viynx.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Vohapy	vohapy.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Vubuve	vubuve.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Vugeno	vugeno.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Vugide	vugide.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Vugumi	vugumi.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Vuruf	vuruf.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Vuvohu	vuvohu.com	11.08	11.08	11.08	11.08	no	yes	
root5	Vyaxi	vyaxi.com	11.08	11.08	11.08	11.08	no	yes	
root5	Vyuri	vyuri.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Wabicy	wabicy.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Wahuze	wahuze.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Waleci	waleci.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Wavumo	wavumo.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Widub	widub.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Widuf	widuf.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Wogevu	wogevu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Wugaco	wugaco.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Wuhozo	wuhozo.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Wunafy	wunafy.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Wusaf	wusaf.com	11.08	11.08	11.08	11.08	no	yes	
root5	Xaono	xaono.com	11.08	11.08	11.08	11.08	no	yes	
root5	Xyeri	xyeri.com	11.08	11.08	11.08	11.08	no	yes	
root5	Xyiza	xyiza.com	11.08	11.08	11.08	11.08	no	yes	
root5	Xyyri	xyyri.com	11.08	11.08	11.08	11.08	no	yes	
root6	Yuryna	yuryna.com	11.08	11.08	11.08	11.08	no	yes	
root6	Yuryri	yuryri.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Zahigy	zahigy.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Zaweg	zaweg.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Zecega	zecega.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Zejezy	zejezy.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Zejuwi	zejuwi.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Zifibe	zifibe.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Zitawo	zitawo.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Zocuru	zocuru.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Zofupy	zofupy.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Zogaru	zogaru.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Zugiwy	zugiwy.com	11.08	11.08	11.08	11.08	no	yes	
root5	Zyeli	zyeli.com	11.08	11.08	11.08	11.08	no	yes	
root6	Zyrari	zyrari.com	11.08	11.08	11.08	11.08	no	yes	
root6	Zyrima	zyrima.com	11.08	11.08	11.08	11.08	no	yes	
root6	Zyriro	zyriro.com	11.08	11.08	11.08	11.08	no	yes	
root6	Zyrulo	zyrulo.com	11.08	11.08	11.08	11.08	no	yes	
root5	Zyyri	zyyri.com	11.08	11.08	11.08	11.08	no	yes	
