category	name	domain	whois_com	fed_active	fed_total	price	regular	renewal	transfer	premium	avail	pork_error
tech_mid	Olvandor	olvandor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_modern	Olvbase	olvbase.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_modern	Olvdanti	olvdanti.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Olvraxis	olvraxis.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Pelmedora	pelmedora.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Pelvarist	pelvarist.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenantheria	plenantheria.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenarica	plenarica.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenaros	plenaros.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenatic	plenatic.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenatide	plenatide.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenavara	plenavara.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenavos	plenavos.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_modern	Plendanti	plendanti.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plendroma	plendroma.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenitheon	plenitheon.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenodex	plenodex.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenometric	plenometric.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenonex	plenonex.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenorant	plenorant.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Plenraxis	plenraxis.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenveriant	plenveriant.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Plenveritas	plenveritas.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenverith	plenverith.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plenwave	plenwave.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Plymara	plymara.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Prendarith	prendarith.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Quintaval	quintaval.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Quintavor	quintavor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Quorelis	quorelis.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Quorindra	quorindra.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Sindalor	sindalor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Solantheria	solantheria.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Solavos	solavos.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_modern	Soldanti	soldanti.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Soldroma	soldroma.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Solendros	solendros.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Solitheon	solitheon.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Solorant	solorant.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Solveriant	solveriant.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_mid	Stelandor	stelandor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelantheria	stelantheria.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelarica	stelarica.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelavos	stelavos.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_modern	Stelbase	stelbase.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_modern	Steldanti	steldanti.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Steldroma	steldroma.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelinova	stelinova.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelitheon	stelitheon.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelodex	stelodex.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelometric	stelometric.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelonex	stelonex.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelorant	stelorant.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelorica	stelorica.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelostra	stelostra.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelpeak	stelpeak.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Stelraxis	stelraxis.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelsummit	stelsummit.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelveriant	stelveriant.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Stelveritas	stelveritas.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelverith	stelverith.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stelwave	stelwave.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Stenveritas	stenveritas.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stradorial	stradorial.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Strendaroth	strendaroth.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_short	Strexora	strexora.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Stridmar	stridmar.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Strydora	strydora.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Tarendor	tarendor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Travidor	travidor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Trevarith	trevarith.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Trevidor	trevidor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Ulvarist	ulvarist.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vendantheria	vendantheria.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vendarist	vendarist.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vendaros	vendaros.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vendaroth	vendaroth.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vendatide	vendatide.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vendatier	vendatier.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Venddroma	venddroma.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vendveriant	vendveriant.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vendverith	vendverith.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vendvor	vendvor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Verdord	verdord.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Volnareth	volnareth.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vorenrik	vorenrik.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vorindel	vorindel.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vornelta	vornelta.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vrendar	vrendar.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Vrovendel	vrovendel.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Welvarith	welvarith.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Welvarum	welvarum.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Welvor	welvor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Wenivok	wenivok.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Wrovendel	wrovendel.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Xenardel	xenardel.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Xenarith	xenarith.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Yandrik	yandrik.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Yrovendel	yrovendel.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Yvenarist	yvenarist.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Yvenova	yvenova.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Yvenvor	yvenvor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Yvorant	yvorant.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Zelandros	zelandros.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Zerendrik	zerendrik.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Zerivor	zerivor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Zordara	zordara.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Zordwell	zordwell.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_general	Zrovendel	zrovendel.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
